Music,Artist,Text,Language,Url,Search Status,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
Penseemmim,LeandroeLeonardo,"['vez', 'fic', 'pens', 'nel', 'vez', 'viv', 'chor', 'pens', 'mim', 'chor', 'mim', 'lig', 'pra', 'mim', 'lig', 'pra', 'pra', 'chor', 'lembr', 'temp', 'amo', 'amo', 'amo', 'quer', 'faz', 'feliz', 'vam', 'peg', 'prim', 'avi', 'destin', 'felic', 'felic', 'pra', 'mim']",PT-BR,https://api.vagalume.com.br/search.php?art= Leandro e Leonardo &mus=Pense-em-mim&apikey=dc668952146a4a25b6d06586e7b69708,aprox,,,,,,,,,,,,,,
Eumeamarrei,JoãoPauloeDaniel,"['amarr', 'amarr', 'amarr', 'coraçã', 'amarr', 'amarr', 'amarr', 'tô', 'amarr', 'ness', 'paix', 'agarr', 'chamêg', 'tão', 'gost', 'corp', 'peg', 'fog', 'demal', 'mulh', 'chor', 'sanf', 'aqu', 'grud', 'nel', 'noit', 'int', 'rel', 'rel', 'qu', 'ganh', 'beij', 'cant', 'escondid', 'fal', 'bem', 'baix', 'desej', 'mulh', 'su', 'ping', 'feit', 'tamp', 'panel', 'xon', 'gam', 'nel', 'qu', '<', 'ravi', '>']",PT-BR,https://api.vagalume.com.br/search.php?art= Joao Paulo e Daniel &mus=Eu-me-amarrei&apikey=dc668952146a4a25b6d06586e7b69708,aprox,,,,,,,,,,,,,,
SemMedodeSerFeliz,ZezéDiCamargoeLuciano,"['tir', 'paix', 'cabeç', 'tir', 'trist', 'olh', 'faz', 'sent', 'busc', 'val', 'pen', 'chor', 'temp', 'perd', 'am', 'band', 'fez', 'final', 'histór', 'rum', 'vez', 'rio', 'busc', 'mar', 'vem', 'procur', 'encontr', 'peit', 'am', 'q', 'quil', 'dar', 'ent', 'viaj', 'corp', 'med', 'ser', 'feliz', 'dou', 'am', 'faç', 'am', 'nunc', 'fiz', 'refr', 'perc', 'cabeç', 'queim', 'fog', 'juiz', 'faç', 'jog', 'brinqued', 'pres', 'caiu', 'ceu', 'faç', 'tud', 'pra', 'agrad', 'dorm', 'braç', 'faç', 'sonh', 'amanhec', 'ja', 'esquec', 'vez', 'vai', 'lev', 'pedaç', 'mim', 'vez', 'vou', 'fic', 'esper', 'aqu', 'repet', 'refra']",PT-BR,https://api.vagalume.com.br/search.php?art= Zeze Di Camargo e Luciano &mus=Sem-Medo-de-Ser-Feliz&apikey=dc668952146a4a25b6d06586e7b69708,aprox,,,,,,,,,,,,,,
RecadoaMinhaAmada,Katinguelê,"['lua', 'vai', 'ilumin', 'pens', 'fal', 'pra', 'viv', 'viv', 'pi', 'castig', 'va', 'diz', 'vou', 'sent', 'saudad', 'velh', 'temp', 'felic', 'rein', 'pens', 'lua', 'lua', 'vai', 'diz', 'paz', 'depend', 'vontad', 'bondad', 'vind', 'dess', 'moç', 'perdo', 'sent', 'lua', 'ora', 'vá', 'diz', 'mim', 'felic', 'moç', 'igual', 'cidad', 'mand', 'rec', 'am', 'lua', 'vai']",PT-BR,https://api.vagalume.com.br/search.php?art= Katinguele &mus=Recado-a-Minha-Amada&apikey=dc668952146a4a25b6d06586e7b69708,exact,,,,,,,,,,,,,,
Lávemonegão,CravoeCanella,"['lá', 'vem', 'neg', 'chei', 'paix', 'cat', 'cat', 'cat', 'quer', 'ganh', 'tod', 'menin', 'coro', 'perdo', 'fung', 'cangot', 'lind', 'moren', 'cat', 'cat', 'cat', 'loir', 'cafung', 'neg', 'problem', 'loir', 'cafung', 'neg', 'problem', 'ninguém', 'soub', 'am', 'pod', 'prepar', 'cheg', 'salv', 'alegr', 'pod', 'arrum', 'cheg', 'neg', 'compromiss', 'melhor', 'vacil', 'bast', 'sorris', 'olh', 'neg', 'cat', 'lá', 'vem', 'neg', 'chei', 'paix', 'cat', 'cat', 'cat', 'quer', 'ganh', 'tod', 'menin', 'coro', 'perdo', 'fung', 'cangot', 'lind', 'moren', 'cat', 'cat', 'cat', 'loir', 'cafung', 'neg', 'problem', 'loir', 'cafung', 'neg', 'problem', 'vem', 'neg', 'vem', 'depress', 'mulheri', 'grit', 'vem', 'neg', 'hor', 'vam', 'deit', 'rol', 'prai', 'rua', 'supermerc', 'feir', 'mai', 'curt', 'garot', 'vem', 'requebr', 'pra', 'fic', 'neg']",PT-BR,https://api.vagalume.com.br/search.php?art= Cravo e Canella &mus=La-vem-o-negao&apikey=dc668952146a4a25b6d06586e7b69708,aprox,,,,,,,,,,,,,,
CartãoPostal,Olodum,"['pelour', 'pelour', 'pelour', 'sim', 'pelour', 'olh', 'car', 'bi', 'fic', 'toa', 'muit', 'gent', 'boa', 'bi', 'aqu', 'tud', 'mud', 'quinz', 'ano', 'brilh', 'bi', 'olodum', 'filh', 'sol', 'reluz', 'seduz', 'am', 'bi', 'negr', 'conscien', 'cant', 'toc', 'pelô', 'bi', 'pelour', 'prim', 'mund', 'cart', 'postal', 'salv', 'bi', 'pass', 'lá', 'pass', 'lá', 'pass', 'lá', 'vou', 'pass', 'lá', 'pass', 'lá', 'pass', 'lá', 'pelô', 'bi']",PT-BR,https://api.vagalume.com.br/search.php?art= Olodum &mus=Cartao-Postal&apikey=dc668952146a4a25b6d06586e7b69708,exact,,,,,,,,,,,,,,
ChorandoSeFoi,Kaoma,"['chor', 'dia', 'fez', 'chor', 'chor', 'dia', 'fez', 'chor', 'chor', 'est', 'lembr', 'am', 'dia', 'soub', 'cuid', 'chor', 'est', 'lembr', 'am', 'dia', 'soub', 'cuid', 'record', 'vai', 'est', 'aond', 'record', 'vai', 'est', 'pra', 'sempr', 'aond', 'danç', 'sol', 'mar', 'guard', 'olh', 'am', 'faz', 'perd', 'encontr', 'lamb', 'est', 'lembr', 'am', 'dia', 'instant', 'rei', 'record', 'vai', 'est', 'aond', 'record', 'vai', 'est', 'pra', 'sempr', 'aond', 'chor', 'est', 'lembr', 'am', 'dia', 'nao', 'soub', 'cuid', 'cançã', 'ris', 'dor', 'melod', 'am', 'moment', 'fic', 'ar']",PT-BR,https://api.vagalume.com.br/search.php?art= Kaoma &mus=Chorando-Se-Foi&apikey=dc668952146a4a25b6d06586e7b69708,exact,,,,,,,,,,,,,,
Swingdacor,DanielaMercury,"['abandon', 'desesp', 'porqu', 'poss', 'fic', 'bi', 'porqu', 'poss', 'fic', 'fic', 'ver', 'vem', 'pro', 'swing', 'cor', 'relax', 'cal', 'sab', 'amarr', 'vem', 'sorris', 'pequen', 'beij', 'venen', 'quer', 'apaixon', 'curupac', 'kioiô', 'muzenz', 'larau', 'curupac', 'kioiô', 'muzenz', 'larau', 'aia', 'ulêlêl', 'lêl', 'aia', 'ulêlêl', 'lêl', 'aia']",PT-BR,https://api.vagalume.com.br/search.php?art= Daniela Mercury &mus=Swing-da-cor&apikey=dc668952146a4a25b6d06586e7b69708,aprox,,,,,,,,,,,,,,
EssaTalLiberdade,SóPraContrariar,"['vou', 'faz', 'tal', 'liberdad', 'solid', 'pens', 'nunc', 'imagin', 'sent', 'tant', 'saudad', 'coraçã', 'sab', 'esquec', 'and', 'err', 'pis', 'bol', 'troq', 'am', 'ilusã', 'gent', 'aprend', 'vid', 'escol', 'assim', 'acab', 'grand', 'paix', 'quer', 'abraç', 'quer', 'beij', 'desej', 'noit', 'dia', 'quer', 'prend', 'tod', 'tud', 'quer', 'vou', 'faz', 'fim', 'tard', 'pra', 'ond', 'qu', 'olh', 'lembr', 'sei', 'fic', 'aqu', 'mud', 'cidad', 'sinc', 'am', 'sei', 'faz', 'and', 'err', 'pis', 'bol', 'ach', 'melhor', 'cant', 'outr', 'cançã', 'gent', 'aprend', 'vid', 'escol', 'troc', 'liberdad', 'perd', 'quer', 'abraç', 'quer', 'beij', 'desej', 'noit', 'dia', 'quer', 'prend', 'tod', 'tud', 'quer']",PT-BR,https://api.vagalume.com.br/search.php?art= So Pra Contrariar &mus=Essa-Tal-Liberdade&apikey=dc668952146a4a25b6d06586e7b69708,aprox,,,,,,,,,,,,,,
Catedral,ZéliaDuncan,"['desert', 'atravess', 'ninguém', 'viu', 'pass', 'estranh', 'pud', 'ver', 'céu', 'mai', 'tent', 'diz', 'vi', 'tão', 'long', 'cheg', 'pert', 'algum', 'lug', 'desert', 'ond', 'encontr', 'viu', 'pass', 'corr', 'pud', 'ver', 'temp', 'mai', 'olh', 'pra', 'mim', 'vi', 'assim', 'tão', 'pert', 'cheg', 'ond', 'silênci', 'catedr', 'templ', 'mim', 'ond', 'poss', 'ser', 'imort', 'vai', 'exist', 'sei', 'vai', 'ter', 'exist', 'vai', 'resist', 'lug', 'solid', 'pod', 'evit', 'encontr', 'enfim', 'coraçã', 'secul', 'sonh', 'deságu', 'dentr', 'mim', 'amanhã', 'devag', 'diz', 'volt', 'diss', 'am', 'vou', 'ment', 'pra', 'mim', 'diss', 'deix', 'pra', 'sempr', 'assim', 'tent', 'diz', 'vi', 'tão', 'long', 'cheg', 'pert', 'algum', 'lug']",PT-BR,https://api.vagalume.com.br/search.php?art= Zelia Duncan &mus=Catedral&apikey=dc668952146a4a25b6d06586e7b69708,exact,,,,,,,,,,,,,,
TomaJuízo,ZezéDiCamargoeLuciano,"['hoj', 'aqu', 'vim', 'fal', 'mim', 'precis', 'refaz', 'vid', 'quer', 'ser', 'estr', 'salv', 'madrug', 'hoj', 'aqu', 'vai', 'ter', 'decid', 'cans', 'ter', 'metad', 'quer', 'am', 'corp', 'int', 'am', 'mai', 'mund', 'verd', 'tom', 'cuid', 'vid', 'mud', 'jog', 'repent', 'tom', 'juíz', 'ajud', 'consert', 'am', 'gent', 'tom', 'cuid', 'poss', 'revert', 'part', 'tom', 'juíz', 'vou', 'tir', 'vid']",PT-BR,https://api.vagalume.com.br/search.php?art= Zeze Di Camargo e Luciano &mus=Toma-Juizo&apikey=dc668952146a4a25b6d06586e7b69708,aprox,,,,,,,,,,,,,,
CachimboDaPaz,"GabrielOPensador,LuluSantos","['cri', 'cri', 'criminal', 'tom', 'cont', 'cidad', 'sociedad', 'põe', 'cup', 'autoridad', 'caciqu', 'ofic', 'viaj', 'pro', 'pantan', 'porqu', 'aqu', 'viol', 'demal', 'lá', 'encontr', 'velh', 'índi', 'us', 'fio', 'dent', 'fum', 'cachimb', 'paz', 'presid', 'deu', 'tap', 'cachimb', 'hor', 'volt', 'pra', 'capit', 'fic', 'preguiç', 'troc', 'paletó', 'fio', 'dent', 'nome', 'velh', 'índi', 'pra', 'ministr', 'justiç', 'nov', 'ministr', 'cheg', 'cidad', 'ach', 'trib', 'violent', 'demal', 'viu', 'tod', 'car', 'pál', 'viv', 'atrás', 'grad', 'cham', 'tv', 'jorn', 'diss', 'índi', 'cheg', 'traz', 'novidad', 'índi', 'troux', 'cachimb', 'paz', 'mares', 'sent', 'mares', 'mares', 'uuhu', 'apag', 'fumaç', 'revólv', 'pistol', 'mand', 'fumaç', 'cachimb', 'pra', 'cachol', 'acend', 'pux', 'prend', 'pass', 'índi', 'qu', 'cachimb', 'índi', 'qu', 'faz', 'fumaç', 'tod', 'mund', 'experiment', 'cachimb', 'florest', 'diz', 'bom', 'diz', 'prest', 'quer', 'proib', 'quer', 'liber', 'polêm', 'cheg', 'congress', 'tud', 'dev', 'ser', 'pra', 'evit', 'concorr', 'porqu', 'hollywood', 'sucess', 'cachimb', 'paz', 'deix', 'pov', 'tranquil', 'fum', 'acab', 'porqu', 'oitent', 'quil', 'pov', 'aplaud', 'índi', 'part', 'pra', 'selv', 'promet', 'volt', 'tonel', 'volt', 'suj', 'políci', 'feder', 'prepar', 'cil', 'cachimb', 'paz', 'proib', 'entr', 'caçamb', 'vagabund', 'vam', 'pra', 'dp', 'ê', 'êê', 'índi', 'fod', 'porqu', 'lá', 'pau', 'vai', 'com', 'mares', 'sent', 'mares', 'mares', 'uuhu', 'apag', 'fumaç', 'revólv', 'pistol', 'mand', 'fumaç', 'cachimb', 'pra', 'cachol', 'acend', 'pux', 'prend', 'pass', 'índi', 'qu', 'cachimb', 'índi', 'qu', 'faz', 'fumaç', 'delegac', 'vici', 'delinqu', 'cad', 'víci', 'cas', 'difer', 'cachac', 'esfaqu', 'don', 'bar', 'porqu', 'vend', 'ping', 'fi', 'senh', 'beb', 'uísqu', 'demal', 'acord', 'travest', 'assassin', 'coit', 'vici', 'jog', 'apost', 'mulh', 'perd', 'apost', 'sequestr', 'tant', 'ocorr', 'tant', 'viol', 'índi', 'entend', 'nad', 'viu', 'deleg', 'fum', 'charut', 'fedorent', 'acend', 'paz', 'pra', 'relax', 'dar', 'tap', 'lev', 'tap', 'violent', 'chut', 'naquel', 'lug', 'mand', 'pro', 'presídi', 'caminh', 'assist', 'acid', 'provoc', 'excess', 'cervej', 'jov', 'beb', 'demal', 'atropel', 'padr', 'noiv', 'port', 'igrej', 'pro', 'índi', 'nad', 'faz', 'sent', 'tant', 'drog', 'porqu', 'cachimb', 'proib', 'mares', 'sent', 'mares', 'mares', 'uuhu', 'apag', 'fumaç', 'revólv', 'pistol', 'mand', 'fumaç', 'cachimb', 'pra', 'cachol', 'acend', 'pux', 'prend', 'pass', 'índi', 'qu', 'cachimb', 'índi', 'qu', 'faz', 'fumaç', 'penitenciár', 'índi', 'lei', 'conhec', 'crimin', 'verdad', 'entr', 'saind', 'volt', 'cad', 'vez', 'perig', 'pra', 'sociedad', 'aí', 'cumpád', 'rol', 'sortei', 'pris', 'pra', 'reduz', 'sup', 'lot', 'tod', 'mê', 'algum', 'pres', 'ser', 'execut', 'índi', 'dess', 'vez', 'sorte', 'tent', 'acalm', 'outr', 'pres', 'peraí', 'vamô', 'fum', 'cachimb', 'paz', 'começ', 'rir', 'espanc', 'velh', 'índi', 'pod', 'ant', 'morr', 'pens', 'trib', 'atras', 'demal', 'quer', 'acab', 'viol', 'paz', 'contr', 'lei', 'lei', 'contr', 'paz', 'cachimb', 'índi', 'continu', 'proib', 'qu', 'compr', 'fácil', 'pão', 'hoj', 'dia', 'vend', 'mesm', 'band', 'mat', 'velh', 'índi', 'pris', 'mares', 'sent', 'mares', 'mares', 'uuhu', 'apag', 'fumaç', 'revólv', 'pistol', 'mand', 'fumaç', 'cachimb', 'pra', 'cachol', 'acend', 'pux', 'prend', 'pass', 'índi', 'qu', 'cachimb', 'índi', 'qu', 'faz', 'fumaç', 'mares', 'sent', 'mares', 'mares', 'uuhu', 'apag', 'fumaç', 'revólv', 'pistol', 'sent', 'maris', 'mares', 'índi', 'qu', 'cachimb', 'índi', 'qu', 'faz', 'fumaç', 'apag', 'fumaç', 'revólv', 'pistol', 'sent', 'maris', 'acend', 'pux', 'prend', 'pass', 'uuhu', 'apag', 'fumaç', 'revólv', 'pistol', 'sent', 'mares', 'mares', 'índi', 'qu', 'cachimb', 'índi', 'qu', 'faz', 'fumaç', 'apag', 'fumaç', 'revólv', 'pistol', 'mand', 'fumaç', 'cachimb', 'pra', 'cachol', 'acend', 'pux', 'prend', 'pass', 'índi', 'qu', 'cachimb', 'índi', 'qu', 'faz', 'fumaç', 'apag', 'fumaç', 'revólv', 'pistol', 'mand', 'fumaç', 'cachimb', 'pra', 'cachol', 'acend', 'pux', 'prend', 'pass', 'índi', 'qu', 'cachimb', 'índi', 'qu', 'faz', 'fumaç', 'apag', 'fumaç', 'revólv', 'pistol', 'mand', 'fumaç', 'cachimb', 'pra', 'cachol']",PT-BR,"https://api.vagalume.com.br/search.php?art= Gabriel O Pensador, Lulu Santos &mus=Cachimbo-Da-Paz&apikey=dc668952146a4a25b6d06586e7b69708",GoogleSearch OK,,,,,,,,,,,,,,
NuncaVouDeixarVocê,Karametade,"['mud', 'nad', 'mim', 'mesm', 'amig', 'mesm', 'mani', 'troc', 'tim', 'sant', 'gui', 'fiel', 'faz', 'fantas', 'coraçã', 'assim', 'quer', 'am', 'pul', 'cerc', 'pul', 'ame', 'err', 'err', 'volt', 'trans', 'trans', 'fiq', 'mand', 'coraçã', 'acend', 'fog', 'paix', 'dá', 'show', 'hor', 'am', 'sab', 'faz', 'corp', 'delir', 'põe', 'verdad', 'ilusã', 'louc', 'tent', 'dá', 'show', 'hor', 'praz', 'nunc', 'vou', 'deix', 'coraçã', 'assim', 'quer', 'am', 'pul', 'cerc', 'pul', 'ame', 'err', 'err', 'volt', 'trans', 'trans', 'fiq', 'mand', 'coraçã', 'acend', 'fog', 'paix', 'dá', 'show', 'hor', 'am', 'sab', 'faz', 'corp', 'delir', 'põe', 'verdad', 'ilusã', 'louc', 'tent', 'dá', 'show', 'hor', 'praz', 'nunc', 'cou', 'deix', 'voc']",PT-BR,https://api.vagalume.com.br/search.php?art= Karametade &mus=Nunca-Vou-Deixar-Voce&apikey=dc668952146a4a25b6d06586e7b69708,exact,,,,,,,,,,,,,,
SóLove,ClaudinhoeBuchecha,"['lov', 'lov', 'lov', 'lov', 'lov', 'lov', 'lov', 'lov', 'quer', 'nov', 'atrac', 'gost', 'corp', 'alm', 'coraçã', 'vener', 'demal', 'praz', 'control', 'calend', 'utiliz', 'mão', 'quer', 'nov', 'atrac', 'gost', 'corp', 'alm', 'coraçã', 'vener', 'demal', 'praz', 'control', 'calend', 'utiliz', 'mão', 'am', 'vou', 'esper', 'pra', 'ter', 'praz', 'corp', 'quent', 'sol', 'viv', 'sonh', 'pens', 'delíri', 'jog', 'futebol', 'lov', 'lov', 'lov', 'lov', 'lov', 'lov', 'lov', 'lov', 'arrisc', 'alguém', 'tão', 'bom', 'quant', 'vou', 'confi', 'ninguém', 'vou', 'envolv', 'qualqu', 'pra', 'desp', 'tod', 'ra', 'emoç', 'transparec', 'deix', 'moment', 'vão', 'pra', 'am', 'ser', 'lov', 'lov', 'lov', 'lov', 'lov', 'lov', 'lov', 'lov']",PT-BR,https://api.vagalume.com.br/search.php?art= Claudinho e Buchecha &mus=So-Love&apikey=dc668952146a4a25b6d06586e7b69708,aprox,,,,,,,,,,,,,,
Mineirinho/SaidaMinhaAba,SóPraContrariar,"['culp', 'com', 'quiet', 'cant', 'bot', 'pra', 'quebr', 'lev', 'vid', 'bem', 'jeit', 'faz', 'fal', 'culp', 'com', 'quiet', 'cant', 'bot', 'pra', 'quebr', 'lev', 'vid', 'bem', 'jeit', 'faz', 'fal', 'qu', 'sab', 'pra', 'dar', 'vai', 'faz', 'delir', 'sab', 'queij', 'doc', 'oh', 'ben', 'vai', 'gost', 'tão', 'man', 'uai', 'bom', 'demal', 'duvid', 'temper', 'uai', 'min', 'faz', 'vem', 'prov', 'amarr', 'tão', 'man', 'uai', 'bom', 'demal', 'duvid', 'temper', 'uai', 'min', 'faz', 'prov', 'amarr', 'diss', 'ai', 'ai', 'duvid', 'faz', 'faz', 'prov', 'amarr', 'ai', 'ai', 'duvid', 'faz', 'faz', 'prov', 'amarr', 'culp', 'com', 'quiet', 'cant', 'bot', 'pra', 'quebr', 'lev', 'vid', 'bem', 'jeit', 'faz', 'fal', 'culp', 'com', 'quiet', 'cant', 'bot', 'pra', 'quebr', 'lev', 'vid', 'bem', 'jeit', 'quer', 'faz', 'fal', 'qu', 'sab', 'pra', 'dar', 'vai', 'faz', 'delir', 'sab', 'queij', 'doc', 'oh', 'ben', 'oh', 'ben', 'vai', 'gost', 'tão', 'man', 'uai', 'bom', 'demal', 'duvid', 'temper', 'uai', 'min', 'faz', 'prov', 'amarr', 'tão', 'man', 'uai', 'bom', 'demal', 'duvid', 'temper', 'uai', 'min', 'faz', 'prov', 'amarr', 'diss', 'ai', 'diss', 'ai', 'duvid', 'faz', 'faz', 'prov', 'amarr', 'ai', 'ai', 'duvid', 'faz', 'faz', 'prov', 'amarr', 'sai', 'pra', 'lá', 'manc', 'vê', 'esquec', 'aguent', 'estr', 'dou', 'mão', 'qu', 'log', 'pé', 'aborrec', 'sai', 'pra', 'lá', 'bic', 'sai', 'pra', 'lá', 'mané', 'vê', 'desaparec', 'tod', 'hor', 'cumpadr', 'quebr', 'galh', 'aí', 'qualqu', 'emprest', 'sempr', 'ped', 'tô', 'beb', 'cervej', 'beb', 'cop', 'acend', 'cigarr', 'qu', 'fum', 'pra', 'mim', 'cheg', 'pagod', 'qu', 'entr', 'comig', 'ganh', 'garot', 'tent', 'atras', 'fic', 'marc', 'pra', 'ter', 'perig', 'perd', 'caron', 'mand', 'aba', 'aba', 'aba', 'sai', 'aba', 'sai', 'pra', 'lá', 'pod', 'ver', 'sai', 'aba', 'sai', 'pra', 'lá', 'atur', 'sai', 'aba', 'sai', 'pra', 'lá', 'pod', 'ver', 'sai', 'aba', 'sai', 'pra', 'lá', 'atur', 'aba', 'aba', 'aba', 'sai', 'aba', 'sai', 'pra', 'lá', 'pod', 'ver', 'sai', 'aba', 'sai', 'pra', 'lá', 'atur', 'sai', 'aba', 'sai', 'pra', 'lá', 'pod', 'ver', 'sai', 'aba', 'sai', 'pra', 'lá', 'atur', 'ai', 'ai', 'ai', 'ai', 'ai', 'ai', 'atur', 'ai', 'ai', 'atur']",PT-BR,https://api.vagalume.com.br/search.php?art= So Pra Contrariar &mus=Mineirinho-/-Sai-da-Minha-Aba&apikey=dc668952146a4a25b6d06586e7b69708,GoogleSearch OK,,,,,,,,,,,,,,
VemNhaNhã,BoquinhaDaGarrafa,"['ai', 'ai', 'ai', 'filh', 'lua', 'chei', 'dupl', 'jeit', 'deix', 'louc', 'quer', 'namor', 'danc', 'comig', 'col', 'deix', 'corp', 'su', 'cal', 'corp', 'esquent', 'transform', 'fog', 'balé', 'vai', 'vem', 'vem', 'nha', 'nha', 'devag', 'vem', 'nha', 'nha', 'vem', 'mans', 'vem', 'nha', 'nha', 'bem', 'gostos', 'vem', 'comig', 'vem', 'nha', 'nha', 'dig', 'cans', 'nha', 'nhou', 'alguém', 'quer', 'bem', 'assanh', 'fiqu', 'nhém', 'nhém', 'nhém', 'agor', 'faç', 'ped', 'am', 'emoç']",PT-BR,https://api.vagalume.com.br/search.php?art= Boquinha Da Garrafa &mus=Vem-Nha-Nha&apikey=dc668952146a4a25b6d06586e7b69708,aprox,,,,,,,,,,,,,,
Aprimeiravista,DanielaMercury,"['nad', 'quil', 'tud', 'aus', 'esp', 'fri', 'trem', 'corag', 'lig', 'cheg', 'cart', 'abr', 'ouv', 'princ', 'danc', 'olh', 'brilh', 'entend', 'cri', 'asa', 'voe', 'cham', 'vim', 'dei', 'mim', 'tav', 'aqu', 'ach', 'perd', 'vi', 'apaixon', 'nad', 'quil', 'tud', 'aus', 'esp', 'fri', 'trem', 'corag', 'lig', 'cheg', 'cart', 'abr', 'ouv', 'salif', 'keit', 'danc', 'olh', 'brilh', 'entend', 'cri', 'asa', 'voe', 'cham', 'vim', 'dei', 'mim', 'tav', 'aqu', 'ach', 'perd', 'vi', 'apaixon', 'ohhh', 'am', 'zai', 'zoi', 'di', 'zai', 'di', 'zai', 'zaii', 'ing', 'annn', 'ohhh', 'am', 'zai', 'zoi', 'di', 'zai', 'di', 'zai', 'zaii', 'ing', 'annn']",PT-BR,https://api.vagalume.com.br/search.php?art= Daniela Mercury &mus=A-primeira-vista&apikey=dc668952146a4a25b6d06586e7b69708,aprox,,,,,,,,,,,,,,
Naboquinhadagarrafa,Ciadopagode,"['samb', 'diss', 'ral', 'samb', 'la', 'vi', 'quebr', 'samb', 'gost', 'ral', 'ral', 'troc', 'garraf', 'nao', 'aguent', 'ral', 'vai', 'ral', 'boqu', 'garraf', 'boc', 'garraf', 'vai', 'desc', 'boqu', 'garraf', 'boc', 'garraf', 'desc', 'desc', 'pouq', 'desc', 'desc', 'devag', 'vai', 'saind', 'boqu', 'garraf', 'boc', 'garraf', 'vai', 'sub', 'boqu', 'garraf', 'boc', 'garraf', 'sob', 'sob', 'pouq', 'sob', 'sob', 'devag', 'sim', 'gost', 'ral', 'ral', 'embal', 'samb', 'so', 'pens', 'ral', 'gost', 'ral', 'ral', 'viu', 'boc', 'garraf', 'nao', 'aguent', 'ral', 'desd', 'inici', 'vai', 'ral', 'boqu', 'garraf', 'boc', 'garraf', 'sob', 'desc', 'boqu', 'garraf']",PT-BR,https://api.vagalume.com.br/search.php?art= Cia do pagode &mus=Na-boquinha-da-garrafa&apikey=dc668952146a4a25b6d06586e7b69708,aprox,,,,,,,,,,,,,,
BeijaEu,MarisaMonte,"['deix', 'aceit', 'ent', 'deit', 'aceit', 'molh', 'sec', 'deix', 'céu', 'receb', 'anoiteç', 'amanheç', 'beij', 'beij', 'beij', 'beij', 'deix', 'ser', 'ent', 'beb', 'receb', 'corp', 'corp', 'corp', 'deix', 'deix', 'anoiteç', 'amanheç']",PT-BR,https://api.vagalume.com.br/search.php?art= Marisa Monte &mus=Beija-Eu&apikey=dc668952146a4a25b6d06586e7b69708,aprox,,,,,,,,,,,,,,
OlhaAmor,GianeGiovani,"['olh', 'am', 'tô', 'morr', 'saudad', 'coraçã', 'ta', 'vontad', 'sent', 'puls', 'olh', 'am', 'vi', 'tod', 'plan', 'perd', 'deseng', 'vi', 'mund', 'desab', 'olh', 'am', 'tant', 'aí', 'vez', 'ment', 'esquec', 'olh', 'am', 'ment', 'mund', 'saudad', 'profund', 'fez', 'vid', 'sofr', 'olh', 'am', 'saudad', 'doi', 'demal', 'roub', 'tod', 'paz', 'ta', 'difícil', 'esquec', 'olh', 'am', 'favor', 'esqueç', 'perd', 'cabeç', 'saudad']",PT-BR,https://api.vagalume.com.br/search.php?art= Gian e Giovani &mus=Olha-Amor&apikey=dc668952146a4a25b6d06586e7b69708,aprox,,,,,,,,,,,,,,
OMaisBeloDosBelos,DanielaMercury,"['sob', 'lad', 'curuzu', 'cois', 'lind', 'ver', 'ilê', 'ayê', 'bel', 'bel', 'bat', 'peit', 'fort', 'dig', 'ilê', 'peg', 'deix', 'vontad', 'peg', 'deix', 'vontad', 'deix', 'curt', 'ilê', 'charm', 'liberdad', 'deix', 'curt', 'ilê', 'charm', 'liberdad', 'curt', 'sab', 'neg', 'perd', 'tant', 'felic', 'ilê', 'ayê', 'vem', 'traz', 'ano', 'glór', 'dia', 'ness', 'lind', 'trajetór', 'carnav', 'bah', 'gal', 'diz', 'peg', 'deix', 'vontad', 'peg', 'deix', 'vontad', 'deix', 'curt', 'ilê', 'charm', 'liberdad', 'deix', 'curt', 'ilê', 'charm', 'liberdad', 'tão', 'hipnotiz', 'neg', 'swing', 'dess', 'band', 'bel', 'negr', 'aqu', 'mand', 'vai', 'exal', 'charm', 'vai', 'mund', 'ver', 'vem', 'mostr', 'deus', 'negr', 'ilê', 'gal', 'diz', 'peg', 'deix', 'vontad', 'peg', 'deix', 'vontad', 'deix', 'curt', 'ilê', 'charm', 'liberdad', 'deix', 'curt', 'ilê', 'charm', 'liberdad', 'sáb', 'carnav', 'neg', 'trem', 'zum', 'zum', 'zum', 'prepar', 'sub', 'curuzu', 'aguent', 'chor', 'tant', 'emoç', 'deu', 'imens', 'praz', 'cri', 'perfe', 'gal', 'diz', 'peg', 'deix', 'vontad', 'peg', 'deix', 'vontad', 'deix', 'curt', 'ilê', 'charm', 'liberdad', 'deix', 'curt', 'ilê', 'charm', 'liberdad', 'sob', 'lad', 'curuzu', 'cois', 'lind', 'ver', 'ilê', 'ayê', 'bel', 'bel', 'bat', 'peit', 'fort', 'dig', 'ilê']",PT-BR,https://api.vagalume.com.br/search.php?art= Daniela Mercury &mus=O-Mais-Belo-Dos-Belos&apikey=dc668952146a4a25b6d06586e7b69708,aprox,,,,,,,,,,,,,,
